Dt-value,Dt-alias,AGG(state_title)-alias,AGG(avg_ponderada_br)-value,AGG(avg_ponderada_br)-alias
2020-07-09,09/07/2020,Amapá,0.4103076714556791,0.4103076714556791
2020-07-10,10/07/2020,Amapá,0.4062698864587869,0.4062698864587869
2020-07-11,11/07/2020,Amapá,0.4233608336951802,0.4233608336951802
2020-07-12,12/07/2020,Amapá,0.4883275261324042,0.4883275261324042
2020-07-13,13/07/2020,Amapá,0.4206946645536186,0.4206946645536186
2020-07-14,14/07/2020,Amapá,0.4268030318075001,0.4268030318075001
2020-07-15,15/07/2020,Amapá,0.4184649837133551,0.4184649837133551
2020-07-16,16/07/2020,Amapá,0.4176715105293896,0.4176715105293896
2020-07-17,17/07/2020,Amapá,0.3554463260619977,0.3554463260619977
2020-07-18,18/07/2020,Amapá,0.3975083714398877,0.3975083714398877
2020-07-19,19/07/2020,Amapá,0.4914076647326214,0.4914076647326214
2020-07-20,20/07/2020,Amapá,0.4167189569825002,0.4167189569825002
2020-07-21,21/07/2020,Amapá,0.415817309376204,0.415817309376204
2020-07-22,22/07/2020,Amapá,0.4123046738140285,0.4123046738140285
2020-07-23,23/07/2020,Amapá,0.4055138360251003,0.4055138360251003
2020-07-24,24/07/2020,Amapá,0.4041802104085841,0.4041802104085841
2020-07-25,25/07/2020,Amapá,0.4316661241908069,0.4316661241908069
2020-07-26,26/07/2020,Amapá,0.4849590133112732,0.4849590133112732
2020-07-27,27/07/2020,Amapá,0.4147179946284691,0.4147179946284691
2020-07-28,28/07/2020,Amapá,0.4135346396830496,0.4135346396830496
2020-07-29,29/07/2020,Amapá,0.400812336005176,0.400812336005176
2020-07-30,30/07/2020,Amapá,0.4064123231237686,0.4064123231237686
2020-07-31,31/07/2020,Amapá,0.3838785212516853,0.3838785212516853
2020-08-01,01/08/2020,Amapá,0.4075096422899494,0.4075096422899494
2020-08-02,02/08/2020,Amapá,0.473809812724993,0.473809812724993
2020-08-03,03/08/2020,Amapá,0.393221133195361,0.393221133195361
2020-08-04,04/08/2020,Amapá,0.3928328055477613,0.3928328055477613
2020-08-05,05/08/2020,Amapá,0.376100782778865,0.376100782778865
2020-08-06,06/08/2020,Amapá,0.3830283679233698,0.3830283679233698
2020-08-07,07/08/2020,Amapá,0.3680063370299342,0.3680063370299342
2020-08-08,08/08/2020,Amapá,0.3887323943661972,0.3887323943661972
2020-08-09,09/08/2020,Amapá,0.4207028404952659,0.4207028404952659
2020-08-10,10/08/2020,Amapá,0.3866116061725712,0.3866116061725712
2020-08-11,11/08/2020,Amapá,0.3849567146648105,0.3849567146648105
2020-08-12,12/08/2020,Amapá,0.385261153663075,0.385261153663075
2020-08-13,13/08/2020,Amapá,0.4061195488054002,0.4061195488054002
2020-08-14,14/08/2020,Amapá,0.3831041257367387,0.3831041257367387
2020-08-15,15/08/2020,Amapá,0.4068701938573468,0.4068701938573468
2020-08-16,16/08/2020,Amapá,0.4695544789588676,0.4695544789588676
2020-08-17,17/08/2020,Amapá,0.3990129940689094,0.3990129940689094
2020-08-18,18/08/2020,Amapá,0.3848789604841581,0.3848789604841581
2020-08-19,19/08/2020,Amapá,0.3754920809301474,0.3754920809301474
2020-08-20,20/08/2020,Amapá,0.3830035446672949,0.3830035446672949
2020-08-21,21/08/2020,Amapá,0.375063030025212,0.375063030025212
2020-08-22,22/08/2020,Amapá,0.4065315315315316,0.4065315315315316
2020-08-23,23/08/2020,Amapá,0.4701036013813518,0.4701036013813518
2020-08-24,24/08/2020,Amapá,0.3953004586071581,0.3953004586071581
2020-08-25,25/08/2020,Amapá,0.379972500118534,0.379972500118534
2020-08-26,26/08/2020,Amapá,0.3805515929624346,0.3805515929624346
2020-08-27,27/08/2020,Amapá,0.3817145571123249,0.3817145571123249
2020-08-28,28/08/2020,Amapá,0.3715038314176245,0.3715038314176245
2020-08-29,29/08/2020,Amapá,0.3974771209497898,0.3974771209497898
